Venue,Date,Time start,Time end,Event,Instructor,temp,hum,light,snd
W311-H1,5/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,23,58,57,-70
W311-H1,5/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,24,58,57,-70
W311-H2,5/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,24,56,57,-70
W311-H2,5/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,23,54,57,-70
W311-H3,5/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,26,52,89,6
W311-H3,5/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,25,58,89,20
W311a,5/7/2021 0:00,8:00:00,12:00:00,IC382,Benny Mak,22,58,57,-14
W311d-Z1,5/7/2021 0:00,8:00:00,12:00:00,ICU310,WC Suen,23,58,58,-12
W311d-Z1,5/7/2021 0:00,12:00:00,17:00:00,ICU310,WC Suen,20,58,57,6
W311d-Z2,5/7/2021 0:00,8:00:00,12:00:00,ICU310,YC Tam,23,56,57,30
W311d-Z2,5/7/2021 0:00,12:00:00,17:00:00,ICU310,YC Tam,24,52,57,6
W311-H1,6/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,26,52,57,6
W311-H1,6/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,25,52,18,16
W311-H2,6/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,28,52,54,14
W311-H2,6/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,29,55,53,-70
W311-H3,6/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,24,55,51,-70
W311-H3,6/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,24,46,52,-70
W311a,6/7/2021 0:00,12:00:00,17:00:00,IC382,Benny Mak,26,54,51,-70
W311d-Z1,6/7/2021 0:00,8:00:00,12:00:00,ICU310,WC Suen,23,53,52,-70
W311d-Z1,6/7/2021 0:00,12:00:00,17:00:00,ICU310,Kelvin Leung,25,46,54,6
W311d-Z2,6/7/2021 0:00,8:00:00,12:00:00,ICU310,YC Tam,25,54,54,25
W311d-Z2,6/7/2021 0:00,12:00:00,17:00:00,ICU310,YC Tam,28,55,51,25
W311a,7/7/2021 0:00,8:00:00,12:00:00,ICU310,Kelvin Leung,27,154,52,26
W311a,7/7/2021 0:00,12:00:00,17:00:00,ICU310,Kelvin Leung,26,56,52,28
W311b,7/7/2021 0:00,8:00:00,12:00:00,ICU310,YC Tam,26,58,55,31
W311b,7/7/2021 0:00,12:00:00,17:00:00,ICU310,YC Tam,23,58,56,30
W311a,8/7/2021 0:00,12:00:00,17:00:00,ICU310,Eric Tsang,24,60,89,29
W311a,8/7/2021 0:00,8:00:00,12:00:00,ICU310,Kelvin Leung,25,52,18,28
W311b,8/7/2021 0:00,8:00:00,12:00:00,ICU310,YC Tam,26,55,52,6
W311b,8/7/2021 0:00,12:00:00,17:00:00,ICU310,Kelvin Leung,27,55,60,14
W311-H1,9/7/2021 0:00,13:00:00,17:00:00,ICU310,Eric Tsang,28,55,51,16
W311-H2,9/7/2021 0:00,13:00:00,17:00:00,ICU310,Eric Tsang,29,60,59,-70
W311-H3,9/7/2021 0:00,13:00:00,17:00:00,ICU310,Eric Tsang,29,60,47,-70
W311a,9/7/2021 0:00,8:00:00,12:00:00,ICU310,Eric Tsang,25,59,55,-70
W311b,9/7/2021 0:00,8:00:00,12:00:00,ICU310,Kelvin Leung,26,52,53,25
W311b,9/7/2021 0:00,12:00:00,17:00:00,ICU310,Kelvin Leung,27,55,55,26
W311-H1,12/7/2021 0:00,8:00:00,12:00:00,ICU310,Eric Tsang,24,55,54,24
W311-H1,12/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,22,53,54,28
W311-H1,12/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,23,54,57,-70
W311-H2,12/7/2021 0:00,8:00:00,12:00:00,ICU310,Eric Tsang,20,54,57,14
W311-H2,12/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,22,54,52,12
W311-H2,12/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,26,153,52,26
W311-H3,12/7/2021 0:00,8:00:00,12:00:00,ICU310,Eric Tsang,25,55,54,25
W311-H3,12/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,24,52,46,28
W311-H3,12/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,26,52,51,27
W311b,12/7/2021 0:00,8:00:00,12:00:00,ICU310,Kelvin Leung,23,55,52,24
W311d-Z1,12/7/2021 0:00,8:00:00,12:00:00,ICU310,Kelvin Leung,24,54,53,21
W311d-Z1,12/7/2021 0:00,12:00:00,17:00:00,ICU310,Kelvin Leung,25,55,54,20
W311d-Z2,12/7/2021 0:00,8:00:00,12:00:00,ICU310,KS Chan,26,58,58,18
W311d-Z2,12/7/2021 0:00,12:00:00,17:00:00,ICU310,KS Chan,24,57,55,-12
W311-H1,13/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,26,57,56,-70
W311-H1,13/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,24,57,54,-70
W311-H2,13/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,22,54,54,25
W311-H2,13/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,23,54,54,32
W311-H3,13/7/2021 0:00,8:00:00,12:00:00,IC382,Peter Lam,24,56,18,29
W311-H3,13/7/2021 0:00,13:00:00,17:00:00,IC382,Peter Lam,25,55,54,-70
